"","Zone.Code","All_People","England","Scotland","Wales","Northern_Ireland","Rep_Ireland","Other_EU","Elsewhere"
"64","60QA000064",99,9,83,1,1,2,2,1
"65","60QA000065",96,21,67,3,1,1,2,1
"66","60QA000066",81,13,63,0,1,0,1,3
"67","60QA000067",71,13,51,0,0,0,0,7
"68","60QA000068",68,6,54,0,2,1,1,4
"69","60QA000069",120,11,95,0,0,0,1,13
"70","60QA000070",60,2,50,0,5,0,3,0
"71","60QA000071",69,14,44,2,1,0,3,5
"72","60QA000072",61,11,40,1,0,2,4,3
"73","60QA000073",87,11,64,1,1,0,0,10
"74","60QA000074",97,16,74,0,0,2,2,3
"75","60QA000075",59,10,41,0,3,1,1,3
"76","60QA000076",160,21,99,0,2,0,4,34
"77","60QA000077",82,4,78,0,0,0,0,0
"78","60QA000078",190,11,166,1,1,0,1,10
"79","60QA000079",66,7,58,0,0,0,1,0
"80","60QA000080",123,12,102,0,4,0,3,2
"81","60QA000081",78,8,69,0,0,0,0,1
"82","60QA000082",211,12,195,2,1,0,0,1
"83","60QA000083",94,5,84,1,0,2,2,0
"84","60QA000084",102,5,95,0,1,0,0,1
"85","60QA000085",131,3,126,0,0,0,1,1
"86","60QA000086",119,5,111,0,0,0,2,1
"87","60QA000087",141,10,124,0,3,1,2,1
"88","60QA000088",155,9,138,0,0,0,0,8
"89","60QA000089",90,12,77,0,0,0,0,1
"90","60QA000090",80,7,68,0,0,1,0,4
"91","60QA000091",88,11,75,0,0,0,2,0
"92","60QA000092",62,10,45,1,0,0,2,4
"93","60QA000093",104,7,93,0,1,0,2,1
"94","60QA000094",71,5,62,0,0,0,2,2
"95","60QA000095",64,4,56,0,1,0,1,2
"96","60QA000096",104,13,88,0,0,1,1,1
"97","60QA000097",90,5,78,0,0,1,5,1
"98","60QA000098",84,6,71,1,0,1,3,2
"99","60QA000099",93,16,74,1,0,0,1,1
"100","60QA000100",63,4,56,0,1,0,2,0
"101","60QA000101",62,6,54,0,0,1,0,1
"102","60QA000102",75,5,67,0,0,0,0,3
"103","60QA000103",76,6,64,1,0,1,0,4
"104","60QA000104",74,10,60,0,2,0,2,0
"105","60QA000105",76,3,72,0,1,0,0,0
"106","60QA000106",70,7,57,1,1,2,2,0
"107","60QA000107",77,5,66,0,0,0,4,2
"108","60QA000108",119,12,101,2,1,0,0,3
"109","60QA000109",62,7,51,0,0,0,3,1
"110","60QA000110",123,3,111,0,3,1,1,4
"111","60QA000111",71,6,62,0,2,0,1,0
"112","60QA000112",54,0,54,0,0,0,0,0
"113","60QA000113",56,1,54,0,1,0,0,0
"114","60QA000114",92,6,84,0,0,0,0,2
"115","60QA000115",73,2,70,0,0,0,1,0
"116","60QA000116",79,4,73,0,0,0,0,2
"117","60QA000117",133,7,122,0,0,0,1,3
"118","60QA000118",108,1,107,0,0,0,0,0
"119","60QA000119",103,4,95,0,1,1,2,0
"120","60QA000120",107,2,104,0,0,0,0,1
"121","60QA000121",129,6,114,1,0,0,0,8
"122","60QA000122",101,1,96,0,0,0,4,0
"123","60QA000123",106,4,100,0,0,0,0,2
"124","60QA000124",128,3,123,0,1,0,1,0
"125","60QA000125",160,10,148,0,0,0,1,1
"126","60QA000126",156,10,139,2,0,1,3,1
"127","60QA000127",133,6,123,0,1,0,0,3
"128","60QA000128",100,3,95,0,0,0,1,1
"129","60QA000129",108,6,97,0,0,2,1,2
"130","60QA000130",89,5,83,1,0,0,0,0
"131","60QA000131",147,6,138,1,0,0,1,1
"132","60QA000132",110,3,103,2,0,0,1,1
"133","60QA000133",101,5,93,0,1,0,0,2
"134","60QA000134",74,4,65,0,0,0,3,2
"135","60QA000135",68,1,66,0,0,0,1,0
"136","60QA000136",78,9,62,0,1,1,3,2
"137","60QA000137",79,3,69,0,0,0,2,5
"138","60QA000138",110,9,95,0,0,0,0,6
"139","60QA000139",106,7,94,0,2,0,1,2
"140","60QA000140",81,8,72,0,0,1,0,0
"141","60QA000141",88,7,75,0,1,0,5,0
"142","60QA000142",54,4,47,0,0,0,2,1
"143","60QA000143",95,6,88,1,0,0,0,0
"144","60QA000144",153,10,136,2,0,0,2,3
"145","60QA000145",121,5,109,1,1,2,2,1
"146","60QA000146",59,2,57,0,0,0,0,0
"147","60QA000147",119,6,113,0,0,0,0,0
"148","60QA000148",145,11,131,0,0,0,1,2
"149","60QA000149",103,5,95,2,0,0,0,1
"150","60QA000150",111,3,103,0,0,0,0,5
"151","60QA000151",168,8,157,0,0,0,1,2
"152","60QA000152",64,6,57,0,0,0,1,0
"153","60QA000153",93,6,80,0,1,0,3,3
"154","60QA000154",149,3,142,1,0,0,0,3
"155","60QA000155",69,3,63,0,0,0,2,1
"156","60QA000156",159,6,151,0,1,0,0,1
"157","60QA000157",107,2,104,0,0,0,1,0
"158","60QA000158",178,5,162,1,1,0,0,9
"159","60QA000159",133,1,131,0,0,0,0,1
"160","60QA000160",96,6,88,0,0,0,1,1
"161","60QA000161",113,4,109,0,0,0,0,0
"162","60QA000162",134,11,78,0,0,0,18,27
"163","60QA000163",101,2,99,0,0,0,0,0
"164","60QA000164",111,11,99,1,0,0,0,0
"165","60QA000165",99,6,86,0,0,0,3,4
"166","60QA000166",143,8,133,0,0,0,0,2
"167","60QA000167",143,4,139,0,0,0,0,0
"168","60QA000168",121,12,103,1,0,0,0,5
"169","60QA000169",112,9,97,1,0,2,0,3
"170","60QA000170",116,14,95,0,1,2,0,4
"171","60QA000171",57,2,53,0,1,0,0,1
"172","60QA000172",96,7,89,0,0,0,0,0
"173","60QA000173",110,2,105,0,0,0,1,2
"174","60QA000174",117,2,112,0,0,0,0,3
"175","60QA000175",163,5,151,0,0,0,3,4
"176","60QA000176",109,2,100,0,1,0,4,2
"177","60QA000177",119,1,116,0,1,0,0,1
"178","60QA000178",69,2,65,0,1,0,1,0
"179","60QA000179",72,0,72,0,0,0,0,0
"180","60QA000180",108,1,103,0,1,0,0,3
"181","60QA000181",108,4,100,0,0,1,0,3
"182","60QA000182",110,8,99,0,2,0,0,1
"183","60QA000183",145,7,133,0,0,0,2,3
"184","60QA000184",122,8,111,0,0,0,1,2
"185","60QA000185",120,4,114,1,0,0,0,1
"186","60QA000186",75,0,73,0,0,0,1,1
"187","60QA000187",123,5,116,0,0,0,1,1
"188","60QA000188",76,3,72,0,0,0,0,1
"189","60QA000189",90,1,88,0,0,0,0,1
"190","60QA000190",113,4,108,0,0,0,0,1
"191","60QA000191",131,4,125,0,1,0,0,1
"192","60QA000192",133,2,129,0,0,0,0,2
"193","60QA000193",89,2,84,1,1,0,0,1
"194","60QA000194",116,0,115,0,0,0,0,1
"195","60QA000195",100,4,95,0,1,0,0,0
"196","60QA000196",107,4,103,0,0,0,0,0
"197","60QA000197",123,2,121,0,0,0,0,0
"198","60QA000198",92,3,79,2,1,1,0,6
"199","60QA000199",112,3,109,0,0,0,0,0
"200","60QA000200",160,3,155,0,0,0,0,2
"201","60QA000201",126,4,120,0,0,0,0,2
"202","60QA000202",76,5,70,0,0,0,0,1
"203","60QA000203",131,5,120,0,2,0,1,3
"204","60QA000204",81,3,76,0,0,1,0,1
"205","60QA000205",90,8,80,0,0,0,0,2
"206","60QA000206",68,0,67,0,0,0,1,0
"207","60QA000207",62,2,56,0,0,0,1,3
"208","60QA000208",179,14,163,0,0,0,1,1
"209","60QA000209",146,7,135,0,0,0,4,0
"210","60QA000210",103,4,92,0,2,0,0,5
"211","60QA000211",139,6,129,0,0,0,2,2
"212","60QA000212",150,3,143,0,3,0,0,1
"213","60QA000213",177,4,170,1,0,0,0,2
"214","60QA000214",151,6,144,0,0,0,0,1
"215","60QA000215",101,9,91,0,1,0,0,0
"216","60QA000216",126,4,121,0,0,0,1,0
"217","60QA000217",117,5,102,0,2,0,1,7
"218","60QA000218",123,17,96,0,2,1,1,6
"219","60QA000219",136,13,115,1,1,0,1,5
"220","60QA000220",94,9,72,1,1,0,4,7
"221","60QA000221",138,7,115,0,3,0,3,10
"222","60QA000222",180,13,151,4,2,2,7,1
"223","60QA000223",315,41,207,5,10,6,22,24
"224","60QA000224",147,17,117,0,1,0,4,8
"225","60QA000225",125,17,94,0,3,1,1,9
"226","60QA000226",135,10,109,1,0,1,4,10
"227","60QA000227",129,20,100,3,1,0,2,3
"228","60QA000228",83,7,67,0,0,0,0,9
"229","60QA000229",91,5,75,1,0,0,1,9
"230","60QA000230",73,4,63,1,0,0,1,4
"231","60QA000231",106,8,93,1,0,0,1,3
"232","60QA000232",165,16,137,2,1,0,1,8
"233","60QA000233",190,23,154,1,1,1,4,6
"234","60QA000234",140,32,95,0,0,2,4,7
"235","60QA000235",104,16,77,0,2,2,5,2
"236","60QA000236",127,9,96,1,1,1,8,11
"237","60QA000237",106,21,77,0,1,0,3,4
"238","60QA000238",78,6,60,0,1,2,4,5
"239","60QA000239",61,10,46,0,2,0,1,2
"240","60QA000240",67,12,52,0,0,0,2,1
"241","60QA000241",56,4,45,1,0,1,1,4
"242","60QA000242",117,17,78,0,2,2,3,15
"243","60QA000243",65,7,50,2,0,1,0,5
"244","60QA000244",75,9,59,1,1,0,2,3
"245","60QA000245",67,4,49,1,2,5,2,4
"246","60QA000246",103,14,78,1,1,0,0,9
"247","60QA000247",68,11,50,0,1,1,1,4
"248","60QA000248",105,15,80,1,1,0,1,7
"249","60QA000249",63,9,46,1,1,2,0,4
"250","60QA000250",71,8,52,0,1,0,1,9
"251","60QA000251",65,6,48,0,0,0,0,11
"252","60QA000252",84,9,71,0,1,0,1,2
"253","60QA000253",92,15,74,0,0,1,1,1
"254","60QA000254",199,15,147,1,1,9,9,17
"255","60QA000255",113,12,95,1,0,1,1,3
"256","60QA000256",114,11,83,0,3,0,3,14
"257","60QA000257",89,15,63,1,1,0,1,8
"258","60QA000258",91,6,78,0,1,0,1,5
"259","60QA000259",96,15,68,1,0,0,2,10
"260","60QA000260",69,4,62,0,0,0,1,2
"261","60QA000261",210,46,134,1,2,0,10,17
"262","60QA000262",98,12,69,2,1,0,3,11
"263","60QA000263",87,14,57,0,1,0,2,13
"264","60QA000264",86,14,60,1,3,0,0,8
"265","60QA000265",145,17,109,4,0,0,5,10
"266","60QA000266",131,17,100,0,0,0,6,8
"267","60QA000267",115,11,96,0,2,1,1,4
"268","60QA000268",178,20,142,2,0,1,4,9
"269","60QA000269",179,15,143,3,0,4,0,14
"270","60QA000270",144,10,123,0,0,2,5,4
"271","60QA000271",121,11,97,3,0,0,3,7
"272","60QA000272",82,4,70,0,0,0,2,6
"273","60QA000273",81,9,70,0,1,0,0,1
"274","60QA000274",149,7,133,1,0,1,4,3
"275","60QA000275",144,9,132,0,0,1,0,2
"276","60QA000276",147,25,108,0,1,0,3,10
"277","60QA000277",127,10,97,0,0,1,2,17
"278","60QA000278",126,12,83,0,4,0,11,16
"279","60QA000279",124,13,106,1,0,0,3,1
"280","60QA000280",133,15,113,0,1,2,0,2
"281","60QA000281",101,10,86,2,0,0,1,2
"282","60QA000282",97,10,77,1,1,0,2,6
"283","60QA000283",126,13,105,0,0,2,0,6
"284","60QA000284",91,18,69,0,2,0,1,1
"285","60QA000285",100,6,92,0,0,0,0,2
"286","60QA000286",145,13,126,1,1,1,2,1
"287","60QA000287",152,6,129,1,1,0,1,14
"288","60QA000288",86,12,69,1,0,0,0,4
"289","60QA000289",56,6,47,0,1,1,0,1
"290","60QA000290",119,16,86,3,0,0,7,7
"291","60QA000291",85,14,64,0,0,0,2,5
"292","60QA000292",109,13,83,3,1,1,2,6
"293","60QA000293",65,2,58,1,1,0,1,2
"294","60QA000294",111,11,86,4,0,1,2,7
"295","60QA000295",82,15,64,0,1,0,2,0
"296","60QA000296",119,9,99,3,1,0,4,3
"297","60QA000297",93,9,75,1,0,0,5,3
"298","60QA000298",65,4,57,0,0,1,1,2
"299","60QA000299",75,9,61,1,1,0,0,3
"300","60QA000300",140,24,104,0,1,2,2,7
"301","60QA000301",55,6,48,0,0,0,0,1
"302","60QA000302",51,4,43,0,0,1,0,3
"303","60QA000303",183,13,164,0,0,1,1,4
"304","60QA000304",65,1,64,0,0,0,0,0
"305","60QA000305",70,6,49,1,1,0,6,7
"306","60QA000306",70,10,53,0,0,1,3,3
"307","60QA000307",84,4,76,0,0,0,0,4
"308","60QA000308",51,5,45,0,0,0,1,0
"309","60QA000309",161,10,145,0,1,0,2,3
"310","60QA000310",128,19,100,2,1,0,1,5
"311","60QA000311",95,12,81,0,1,0,1,0
"312","60QA000312",88,4,81,0,0,1,1,1
"313","60QA000313",113,2,105,0,0,0,4,2
"314","60QA000314",128,1,125,0,0,0,0,2
"315","60QA000315",115,7,94,0,2,0,5,7
"316","60QA000316",117,2,111,0,0,1,2,1
"317","60QA000317",94,8,83,0,0,0,2,1
"318","60QA000318",143,7,128,0,1,1,2,4
"319","60QA000319",156,14,137,0,0,0,0,5
"320","60QA000320",182,8,170,0,0,1,0,3
"321","60QA000321",163,8,152,0,1,0,1,1
"322","60QA000322",102,5,95,0,0,0,1,1
"323","60QA000323",114,5,104,0,1,0,1,3
"324","60QA000324",69,2,67,0,0,0,0,0
"325","60QA000325",109,0,105,0,0,0,0,4
"326","60QA000326",112,3,103,0,0,0,3,3
"327","60QA000327",123,2,119,0,0,0,0,2
"328","60QA000328",186,9,160,0,1,0,1,15
"329","60QA000329",173,5,158,0,0,0,0,10
"330","60QA000330",76,0,74,0,0,0,0,2
"331","60QA000331",129,10,114,1,1,0,1,2
"332","60QA000332",75,3,69,0,0,0,1,2
"333","60QA000333",63,0,57,0,3,0,0,3
"334","60QA000334",146,4,141,0,0,0,1,0
"335","60QA000335",163,7,148,0,0,2,3,3
"336","60QA000336",107,7,98,0,0,0,0,2
"337","60QA000337",126,16,109,0,1,0,0,0
"338","60QA000338",138,8,127,0,0,1,0,2
"339","60QA000339",120,13,80,2,0,1,1,23
"340","60QA000340",116,10,99,0,0,1,0,6
"341","60QA000341",107,6,96,0,0,0,0,5
"342","60QA000342",99,4,90,0,1,0,2,2
"343","60QA000343",106,7,89,1,0,0,1,8
"344","60QA000344",151,4,136,1,0,0,2,8
"345","60QA000345",113,8,93,0,1,0,0,11
"346","60QA000346",86,14,70,0,0,0,0,2
"347","60QA000347",117,10,103,0,2,0,0,2
"348","60QA000348",80,4,75,0,0,0,1,0
"349","60QA000349",89,5,84,0,0,0,0,0
"350","60QA000350",102,8,86,0,1,1,0,6
"351","60QA000351",121,9,109,1,0,0,0,2
"352","60QA000352",108,9,98,0,0,0,0,1
"353","60QA000353",114,6,99,0,2,0,0,7
"354","60QA000354",105,7,96,0,0,1,0,1
"355","60QA000355",100,11,71,1,0,1,7,9
"356","60QA000356",164,15,142,1,0,0,1,5
"357","60QA000357",185,16,160,1,1,0,5,2
"358","60QA000358",166,19,127,0,1,0,8,11
"359","60QA000359",159,5,142,2,1,0,0,9
"360","60QA000360",109,4,100,0,0,1,0,4
"361","60QA000361",84,6,75,0,0,0,0,3
"362","60QA000362",100,5,91,0,0,2,0,2
"363","60QA000363",171,10,151,0,1,0,0,9
"364","60QA000364",155,11,138,0,0,1,2,3
"365","60QA000365",140,11,118,0,0,0,1,10
"366","60QA000366",67,6,52,1,0,0,1,7
"367","60QA000367",77,7,66,1,0,0,0,3
"368","60QA000368",57,4,49,1,0,0,3,0
"369","60QA000369",92,18,65,0,0,1,1,7
"370","60QA000370",158,10,137,0,0,0,3,8
"371","60QA000371",111,4,101,0,2,0,1,3
"372","60QA000372",103,3,95,4,0,0,1,0
"373","60QA000373",101,9,84,0,0,0,1,7
"374","60QA000374",119,11,102,0,0,0,0,6
"375","60QA000375",88,7,67,0,1,1,0,12
"376","60QA000376",152,5,139,0,0,0,0,8
"377","60QA000377",122,18,94,0,2,0,3,5
"378","60QA000378",92,5,77,0,2,2,0,6
"379","60QA000379",165,19,130,1,0,0,1,14
"380","60QA000380",70,3,66,0,0,0,0,1
"381","60QA000381",112,1,109,0,0,0,0,2
"382","60QA000382",101,6,91,0,1,0,1,2
"383","60QA000383",144,8,136,0,0,0,0,0
"384","60QA000384",112,3,104,0,1,0,1,3
"385","60QA000385",159,9,145,0,0,0,1,4
"386","60QA000386",162,18,132,2,0,0,1,9
"387","60QA000387",80,5,66,0,5,0,1,3
"388","60QA000388",95,15,66,0,0,0,7,7
"389","60QA000389",90,12,71,0,0,0,0,7
"390","60QA000390",104,1,99,0,0,0,2,2
"391","60QA000391",139,18,107,0,1,0,1,12
"392","60QA000392",117,10,105,0,0,1,1,0
"393","60QA000393",124,12,103,1,1,1,0,6
"394","60QA000394",68,1,57,0,0,1,1,8
"395","60QA000395",187,16,147,0,1,3,6,14
"396","60QA000396",136,6,121,0,0,0,2,7
"397","60QA000397",143,3,134,1,2,0,0,3
"398","60QA000398",82,9,67,1,0,0,0,5
"399","60QA000399",104,8,92,0,0,0,0,4
"400","60QA000400",194,12,169,1,0,0,0,12
"401","60QA000401",164,12,138,0,2,1,1,10
"402","60QA000402",103,17,82,0,1,0,1,2
"403","60QA000403",133,6,123,3,1,0,0,0
"404","60QA000404",127,14,93,2,1,1,11,5
"405","60QA000405",166,14,115,0,2,4,3,28
"406","60QA000406",124,6,107,1,1,0,2,7
"407","60QA000407",228,17,180,1,3,0,4,23
"408","60QA000408",176,12,142,0,2,0,8,12
"409","60QA000409",182,19,153,1,0,0,0,9
"410","60QA000410",102,11,88,0,0,0,1,2
"411","60QA000411",85,2,80,0,1,0,2,0
"412","60QA000412",101,7,92,0,0,0,0,2
"413","60QA000413",79,2,75,0,0,0,1,1
"414","60QA000414",75,5,60,0,0,0,1,9
"415","60QA000415",70,3,64,0,0,0,1,2
"416","60QA000416",128,2,122,0,0,0,0,4
"417","60QA000417",65,4,56,0,1,0,2,2
"418","60QA000418",93,8,79,0,0,0,0,6
"419","60QA000419",111,6,93,2,3,0,2,5
"420","60QA000420",64,2,60,0,1,0,1,0
"421","60QA000421",98,6,64,0,1,0,9,18
"422","60QA000422",81,3,78,0,0,0,0,0
"423","60QA000423",91,10,77,0,0,0,2,2
"424","60QA000424",114,23,79,0,0,0,6,6
"425","60QA000425",93,22,62,3,0,0,0,6
"426","60QA000426",115,18,82,0,3,0,2,10
"427","60QA000427",160,39,79,4,0,0,7,31
"428","60QA000428",118,7,99,0,0,0,1,11
"429","60QA000429",113,10,90,2,0,0,1,10
"430","60QA000430",112,8,97,0,1,1,0,5
"431","60QA000431",143,23,94,5,0,0,4,17
"432","60QA000432",98,20,57,0,3,0,7,11
"433","60QA000433",209,24,159,3,0,1,0,22
"434","60QA000434",181,42,105,4,1,4,9,16
"435","60QA000435",72,6,66,0,0,0,0,0
"436","60QA000436",104,11,93,0,0,0,0,0
"437","60QA000437",161,38,98,0,2,1,7,15
"438","60QA000438",143,20,109,0,0,1,3,10
"439","60QA000439",148,27,110,0,1,1,2,7
"440","60QA000440",106,16,80,0,0,0,4,6
"441","60QA000441",140,10,122,3,0,0,1,4
"442","60QA000442",160,23,121,0,1,2,1,12
"443","60QA000443",102,20,71,1,0,0,1,9
"444","60QA000444",169,25,134,1,0,0,0,9
"445","60QA000445",132,25,84,2,2,2,5,12
"446","60QA000446",182,17,139,2,0,0,6,18
"447","60QA000447",125,31,79,2,0,0,1,12
"448","60QA000448",163,20,107,0,2,2,6,26
"449","60QA000449",104,15,79,1,1,0,4,4
"450","60QA000450",133,7,113,0,0,0,7,6
"451","60QA000451",65,10,45,0,0,0,4,6
"452","60QA000452",60,4,48,0,0,0,0,8
"453","60QA000453",94,13,70,0,2,1,3,5
"454","60QA000454",139,27,82,1,1,3,8,17
"455","60QA000455",128,15,104,2,2,0,1,4
"456","60QA000456",135,20,99,1,1,0,3,11
"457","60QA000457",153,34,98,2,0,1,5,13
"458","60QA000458",116,19,87,0,0,1,2,7
"459","60QA000459",68,12,44,0,0,3,2,7
"460","60QA000460",97,4,89,0,0,0,0,4
"461","60QA000461",131,27,96,3,0,1,1,3
"462","60QA000462",70,13,49,1,0,1,1,5
"463","60QA000463",94,2,87,0,1,0,1,3
"464","60QA000464",107,3,99,1,0,0,2,2
"465","60QA000465",89,4,79,1,1,0,1,3
"466","60QA000466",51,3,43,0,0,1,2,2
"467","60QA000467",59,1,57,0,0,0,0,1
"468","60QA000468",91,11,75,0,1,1,2,1
"469","60QA000469",68,4,58,0,2,1,0,3
"470","60QA000470",79,6,69,1,2,0,0,1
"471","60QA000471",122,9,106,0,4,0,1,2
"472","60QA000472",78,14,58,0,0,2,1,3
"473","60QA000473",59,5,46,0,1,3,3,1
"474","60QA000474",77,14,53,0,2,1,2,5
"475","60QA000475",96,6,89,0,0,0,0,1
"476","60QA000476",106,11,91,0,0,0,0,4
"477","60QA000477",72,9,55,0,0,3,1,4
"478","60QA000478",105,11,91,0,0,3,0,0
"479","60QA000479",146,19,112,0,2,0,5,8
"480","60QA000480",71,7,61,1,0,1,0,1
"481","60QA000481",178,6,153,0,2,5,4,8
"482","60QA000482",64,4,57,0,0,0,0,3
"483","60QA000483",122,7,109,1,0,2,0,3
"484","60QA000484",115,8,96,3,0,0,4,4
"485","60QA000485",61,5,48,2,0,2,2,2
"486","60QA000486",68,5,51,2,2,2,1,5
"487","60QA000487",90,17,68,0,1,1,0,3
"488","60QA000488",94,18,69,0,2,0,2,3
"489","60QA000489",70,2,56,0,1,2,8,1
"490","60QA000490",62,9,48,0,2,0,3,0
"491","60QA000491",73,10,50,1,0,0,1,11
"492","60QA000492",90,13,66,0,1,0,0,10
"493","60QA000493",67,0,64,1,0,0,1,1
"494","60QA000494",61,10,40,0,2,1,5,3
"495","60QA000495",103,5,96,0,0,0,0,2
"496","60QA000496",83,2,81,0,0,0,0,0
"497","60QA000497",112,16,89,0,1,1,2,3
"498","60QA000498",181,31,108,0,2,6,11,23
"499","60QA000499",129,11,109,0,1,1,2,5
"500","60QA000500",113,16,82,0,7,0,6,2
"501","60QA000501",67,4,62,0,0,0,0,1
"502","60QA000502",63,6,56,0,1,0,0,0
"503","60QA000503",77,4,71,0,0,0,0,2
"504","60QA000504",58,3,52,1,0,0,0,2
"505","60QA000505",65,5,60,0,0,0,0,0
"506","60QA000506",187,32,115,2,4,1,10,23
"507","60QA000507",132,10,114,0,0,0,4,4
"508","60QA000508",82,7,74,1,0,0,0,0
"509","60QA000509",98,13,77,0,0,0,2,6
"510","60QA000510",141,9,125,0,0,0,2,5
"511","60QA000511",129,2,116,1,0,0,2,8
"512","60QA000512",65,2,63,0,0,0,0,0
"513","60QA000513",64,2,61,0,0,0,0,1
"514","60QA000514",64,2,61,0,0,1,0,0
"515","60QA000515",99,3,84,0,0,0,0,12
"516","60QA000516",86,3,73,0,1,0,1,8
"517","60QA000517",113,9,100,1,1,0,0,2
"518","60QA000518",108,6,90,0,1,2,5,4
"519","60QA000519",123,5,101,0,3,1,6,7
"520","60QA000520",124,7,108,0,2,0,2,5
"521","60QA000521",75,3,66,0,0,0,2,4
"522","60QA000522",168,28,115,0,9,6,3,7
"523","60QA000523",329,65,201,2,14,3,13,31
"524","60QA000524",64,8,49,1,0,2,2,2
"525","60QA000525",162,10,145,0,1,0,0,6
"526","60QA000526",126,13,107,0,0,0,4,2
"527","60QA000527",91,2,82,0,3,0,3,1
"528","60QA000528",119,3,114,0,0,1,1,0
"529","60QA000529",126,4,119,0,2,0,0,1
"530","60QA000530",98,4,92,1,1,0,0,0
"531","60QA000531",108,4,99,0,1,2,0,2
"532","60QA000532",72,1,68,0,2,0,0,1
"533","60QA000533",105,4,100,0,1,0,0,0
"534","60QA000534",112,2,107,0,2,1,0,0
"535","60QA000535",107,3,103,0,0,1,0,0
"536","60QA000536",114,2,107,1,0,0,1,3
"537","60QA000537",150,2,142,0,0,0,1,5
"538","60QA000538",119,5,110,0,2,0,2,0
"539","60QA000539",67,2,63,0,0,0,0,2
"540","60QA000540",138,4,126,0,0,0,0,8
"541","60QA000541",91,5,80,0,0,0,2,4
"542","60QA000542",121,7,105,1,0,0,3,5
"543","60QA000543",79,0,76,0,0,0,0,3
"544","60QA000544",78,2,73,0,0,1,0,2
"545","60QA000545",91,1,87,0,1,0,0,2
"546","60QA000546",83,1,81,0,0,0,0,1
"547","60QA000547",87,6,80,0,0,0,0,1
"548","60QA000548",116,14,100,0,0,0,0,2
"549","60QA000549",94,6,81,0,0,0,1,6
"550","60QA000550",67,2,65,0,0,0,0,0
"551","60QA000551",65,2,60,1,0,0,0,2
"552","60QA000552",103,2,99,0,0,0,1,1
"553","60QA000553",150,12,133,1,0,0,0,4
"554","60QA000554",119,5,107,1,3,0,0,3
"555","60QA000555",95,6,87,0,0,0,1,1
